frame.number,frame.time,frame.len,tcp.len,eth.src,eth.dst,ip.src,ip.dst,ip.len,ip.proto,_ws.col.Info
"100","Feb 10, 2020 21:51:16.215510641 IST","66","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","172.217.160.206","192.168.0.104","52","6","443 → 48842 [FIN, ACK] Seq=1 Ack=65 Win=252 Len=0 TSval=3089190377 TSecr=193020536"
"101","Feb 10, 2020 21:51:16.215530829 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","172.217.160.206","52","6","48842 → 443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=193020552 TSecr=3089190377"
"102","Feb 10, 2020 21:51:16.845320579 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"103","Feb 10, 2020 21:51:16.847811819 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"104","Feb 10, 2020 21:51:16.847817657 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"105","Feb 10, 2020 21:51:16.847844071 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"106","Feb 10, 2020 21:51:17.326524468 IST","90","24","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","140.82.114.26","192.168.0.104","76","6","Application Data"
"107","Feb 10, 2020 21:51:17.326834320 IST","94","28","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","140.82.114.26","80","6","Application Data"
"108","Feb 10, 2020 21:51:17.734857817 IST","66","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","140.82.114.26","192.168.0.104","52","6","443 → 53418 [ACK] Seq=25 Ack=29 Win=31 Len=0 TSval=289807073 TSecr=2993558426"
"109","Feb 10, 2020 21:51:18.846142098 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
