frame.number,frame.time,frame.len,tcp.len,eth.src,eth.dst,ip.src,ip.dst,ip.len,ip.proto,_ws.col.Info
"36","Feb 10, 2020 21:50:51.627172837 IST","66","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","52","6","443 → 46328 [ACK] Seq=78 Ack=86 Win=123 Len=0 TSval=1460820063 TSecr=2923754499"
"37","Feb 10, 2020 21:50:51.723267095 IST","54",,"30:e3:7a:0d:3a:86","01:00:5e:00:00:16","192.168.0.110","224.0.0.22","40","2","Membership Report / Join group 224.0.0.252 for any sources"
"38","Feb 10, 2020 21:50:52.835557056 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"39","Feb 10, 2020 21:50:52.838112009 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"40","Feb 10, 2020 21:50:52.838129727 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"41","Feb 10, 2020 21:50:52.838137133 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"42","Feb 10, 2020 21:50:54.836164201 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"43","Feb 10, 2020 21:50:54.838695103 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"44","Feb 10, 2020 21:50:54.838707186 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"45","Feb 10, 2020 21:50:54.838711747 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"46","Feb 10, 2020 21:50:56.836324058 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"47","Feb 10, 2020 21:50:56.838853387 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"48","Feb 10, 2020 21:50:56.838867784 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"49","Feb 10, 2020 21:50:56.838916232 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"50","Feb 10, 2020 21:50:58.836417492 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"51","Feb 10, 2020 21:50:58.838929810 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"52","Feb 10, 2020 21:50:58.839022551 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"53","Feb 10, 2020 21:50:58.839034497 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"54","Feb 10, 2020 21:51:00.838694917 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"55","Feb 10, 2020 21:51:00.841270406 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"56","Feb 10, 2020 21:51:00.841292246 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"57","Feb 10, 2020 21:51:00.841385593 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"58","Feb 10, 2020 21:51:00.973489303 IST","90",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","91.189.91.157","76","17","NTP Version 4, client"
"59","Feb 10, 2020 21:51:01.353278990 IST","90",,"68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","91.189.91.157","192.168.0.104","76","17","NTP Version 4, server"
"60","Feb 10, 2020 21:51:02.583502097 IST","97","31","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","83","6","Application Data"
"61","Feb 10, 2020 21:51:02.583852045 IST","101","35","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","87","6","Application Data"
"62","Feb 10, 2020 21:51:02.839747493 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"63","Feb 10, 2020 21:51:02.842320172 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"64","Feb 10, 2020 21:51:02.842339830 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"65","Feb 10, 2020 21:51:02.842349705 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"66","Feb 10, 2020 21:51:02.847619220 IST","66","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","52","6","443 → 46322 [ACK] Seq=32 Ack=36 Win=132 Len=0 TSval=1460831326 TSecr=2923765762"
"67","Feb 10, 2020 21:51:04.839927711 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"68","Feb 10, 2020 21:51:04.842454250 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"69","Feb 10, 2020 21:51:04.842464515 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
